,step,lr,grid,k,internal_units,batch,lamb,lamb_entropy,avg_val_loss
419,80,0.001,10,2,16,64,0.01,10,0.784980833530426
420,80,0.001,10,2,12,32,0.01,100,0.9694925546646118
421,80,0.001,10,2,12,64,0.01,100,0.9691728353500366
422,80,0.001,10,2,16,32,0.01,100,0.9461215337117513
423,80,0.001,10,2,16,64,0.01,100,0.9386027057965597
424,80,0.001,10,2,12,32,0.1,10,0.9710079232851664
425,80,0.001,10,2,12,64,0.1,10,0.9708287715911865
426,80,0.001,10,2,16,32,0.1,10,0.954377015431722
427,80,0.001,10,2,16,64,0.1,10,0.9482357303301493
428,80,0.001,10,2,12,32,0.1,100,0.9938883980115255
429,80,0.001,10,2,12,64,0.1,100,0.9948994517326355
430,80,0.001,10,2,16,32,0.1,100,1.0175358454386394
431,80,0.001,10,2,16,64,0.1,100,1.0157194932301838
432,80,0.001,10,3,12,32,0.01,10,0.844459076722463
433,80,0.001,10,3,12,64,0.01,10,0.8229978879292806
434,80,0.001,10,3,16,32,0.01,10,0.8165820638338724
435,80,0.001,10,3,16,64,0.01,10,0.7835126320521036
436,80,0.001,10,3,12,32,0.01,100,0.969576100508372
437,80,0.001,10,3,12,64,0.01,100,0.9703486561775208
438,80,0.001,10,3,16,32,0.01,100,0.9451013803482056
439,80,0.001,10,3,16,64,0.01,100,0.938727080821991
440,80,0.001,10,3,12,32,0.1,10,0.9711824655532837
